2025-09-08T16:52:48: [Mon Sep  8 16:52:48 2025] PHP 8.3.6 Development Server (http://localhost:8000) started
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34046 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34046 Closing
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34060 Accepted
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34060 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34060 Closing
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34064 Accepted
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34064 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34064 Closing
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34080 Accepted
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34080 [404]: GET /basket - No such file or directory
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34080 Closing
2025-09-08T17:00:55: [Mon Sep  8 17:00:55 2025] 127.0.0.1:57144 Accepted
2025-09-08T17:00:55: [Mon Sep  8 17:00:55 2025] 127.0.0.1:57144 [404]: HEAD / - No such file or directory
2025-09-08T17:00:55: [Mon Sep  8 17:00:55 2025] 127.0.0.1:57144 Closing
2025-09-08T17:01:01: [Mon Sep  8 17:01:01 2025] 127.0.0.1:57374 Accepted
2025-09-08T17:01:01: [Mon Sep  8 17:01:01 2025] 127.0.0.1:57374 [400]: GET /service.php
2025-09-08T17:01:01: [Mon Sep  8 17:01:01 2025] 127.0.0.1:57374 Closing
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57390 Accepted
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57390 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57390 Closing
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57398 Accepted
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57398 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57398 Closing
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57410 Accepted
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57410 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57410 Closing
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57426 Accepted
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57426 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57426 Closing
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57440 Accepted
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57440 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57440 Closing
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57456 Accepted
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57456 [404]: GET /basket - No such file or directory
2025-09-08T17:01:07: [Mon Sep  8 17:01:07 2025] 127.0.0.1:57456 Closing
2025-09-08T17:01:16: [Mon Sep  8 17:01:16 2025] 127.0.0.1:47836 Accepted
2025-09-08T17:01:16: [Mon Sep  8 17:01:16 2025] 127.0.0.1:47836 [404]: GET /catalog - No such file or directory
2025-09-08T17:01:16: [Mon Sep  8 17:01:16 2025] 127.0.0.1:47836 Closing
2025-09-08T17:01:57: [Mon Sep  8 17:01:57 2025] 127.0.0.1:35604 Accepted
2025-09-08T17:01:57: [Mon Sep  8 17:01:57 2025] 127.0.0.1:35604 [404]: GET /catalog_item?iblock_id=21&code=magvell_helikon_tex_glock&with_images=Y&format=full - No such file or directory
2025-09-08T17:01:57: [Mon Sep  8 17:01:57 2025] 127.0.0.1:35604 Closing
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33938 Accepted
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33938 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33938 Closing
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33940 Accepted
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33940 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33940 Closing
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33950 Accepted
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33950 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33950 Closing
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33954 Accepted
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33954 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33954 Closing
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33958 Accepted
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33958 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33958 Closing
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33966 Accepted
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33966 [404]: GET /basket - No such file or directory
2025-09-08T17:02:14: [Mon Sep  8 17:02:14 2025] 127.0.0.1:33966 Closing
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33976 Accepted
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33976 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33976 Closing
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33980 Accepted
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33980 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33980 Closing
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33982 Accepted
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33982 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33982 Closing
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33990 Accepted
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33990 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33990 Closing
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33998 Accepted
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33998 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:33998 Closing
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:34000 Accepted
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:34000 [404]: GET /basket - No such file or directory
2025-09-08T17:02:16: [Mon Sep  8 17:02:16 2025] 127.0.0.1:34000 Closing
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59274 Accepted
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59274 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59274 Closing
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59280 Accepted
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59280 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59280 Closing
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59296 Accepted
2025-09-08T17:03:05: t=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59296 Closing
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59304 Accepted
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59304 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59304 Closing
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59310 Accepted
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59310 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59310 Closing
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59314 Accepted
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59314 [404]: GET /basket - No such file or directory
2025-09-08T17:03:05: [Mon Sep  8 17:03:05 2025] 127.0.0.1:59314 Closing
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57804 Accepted
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57804 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57804 Closing
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57810 Accepted
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57810 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57810 Closing
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57822 Accepted
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57822 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57822 Closing
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57824 Accepted
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57824 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57824 Closing
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57826 Accepted
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57826 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57826 Closing
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57834 Accepted
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57834 [404]: GET /basket - No such file or directory
2025-09-08T17:03:57: [Mon Sep  8 17:03:57 2025] 127.0.0.1:57834 Closing
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59120 Accepted
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59120 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59120 Closing
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59124 Accepted
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59124 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59124 Closing
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59140 Accepted
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59140 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59140 Closing
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59152 Accepted
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59152 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59152 Closing
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59158 Accepted
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59158 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59158 Closing
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59172 Accepted
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59172 [404]: GET /basket - No such file or directory
2025-09-08T17:04:40: [Mon Sep  8 17:04:40 2025] 127.0.0.1:59172 Closing
2025-09-08T17:05:14: [Mon Sep  8 17:05:14 2025] 127.0.0.1:54114 Accepted
2025-09-08T17:05:14: [Mon Sep  8 17:05:14 2025] 127.0.0.1:54114 [404]: GET /catalog_item?iblock_id=21&code=ryukzak_eiger_tac_quadriga_25l_olive&with_images=Y&format=full - No such file or directory
2025-09-08T17:05:14: [Mon Sep  8 17:05:14 2025] 127.0.0.1:54114 Closing
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58052 Accepted
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58052 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58052 Closing
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58064 Accepted
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58064 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58064 Closing
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58070 Accepted
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58070 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58070 Closing
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58082 Accepted
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58082 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58082 Closing
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58094 Accepted
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58094 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58094 Closing
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58106 Accepted
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58106 [404]: GET /basket - No such file or directory
2025-09-08T17:05:27: [Mon Sep  8 17:05:27 2025] 127.0.0.1:58106 Closing
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36820 Accepted
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36820 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36820 Closing
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36832 Accepted
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36832 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36832 Closing
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36840 Accepted
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36840 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36840 Closing
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36852 Accepted
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36852 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36852 Closing
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36854 Accepted
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36854 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36854 Closing
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36866 Accepted
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36866 [404]: GET /basket - No such file or directory
2025-09-08T17:05:56: [Mon Sep  8 17:05:56 2025] 127.0.0.1:36866 Closing
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36878 Accepted
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36878 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36878 Closing
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36882 Accepted
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36882 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36882 Closing
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36896 Accepted
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36896 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36896 Closing
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36910 Accepted
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36910 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36910 Closing
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36922 Accepted
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36922 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36922 Closing
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36924 Accepted
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36924 [404]: GET /basket - No such file or directory
2025-09-08T17:05:57: [Mon Sep  8 17:05:57 2025] 127.0.0.1:36924 Closing
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42548 Accepted
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42548 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42548 Closing
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42562 Accepted
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42562 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42562 Closing
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42568 Accepted
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42568 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42568 Closing
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42584 Accepted
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42584 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42584 Closing
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42586 Accepted
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42586 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42586 Closing
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42588 Accepted
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42588 [404]: GET /basket - No such file or directory
2025-09-08T17:06:46: [Mon Sep  8 17:06:46 2025] 127.0.0.1:42588 Closing
2025-09-08T17:07:12: [Mon Sep  8 17:07:12 2025] 127.0.0.1:41978 Accepted
2025-09-08T17:07:12: [Mon Sep  8 17:07:12 2025] 127.0.0.1:41978 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y - No such file or directory
2025-09-08T17:07:12: [Mon Sep  8 17:07:12 2025] 127.0.0.1:41978 Closing
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:41990 Accepted
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:41990 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:41990 Closing
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:41994 Accepted
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:41994 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:41994 Closing
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:42004 Accepted
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:42004 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:42004 Closing
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:42006 Accepted
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:42006 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:42006 Closing
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:42008 Accepted
2025-09-08T17:07:17: [Mon Sep  8 17:07:17 2025] 127.0.0.1:42008 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
